1650841366.779849 client started (72646): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1650841366.779903 on Darwin 19.6.0 Darwin Kernel Version 19.6.0: Tue Oct 12 18:34:05 PDT 2021; root:xnu-6153.141.43~1/RELEASE_X86_64
1650841366.779925 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.2
1650841366.779970 flags are 0x18010000
1650841366.779984 socket is /private/tmp/tmux-501/default
1650841366.780007 trying connect
1650841366.780103 add peer 0x7fb50a531000: 7 (0x0)
1650841366.782205 sending message 100 to peer 0x7fb50a531000 (4 bytes)
1650841366.782235 sending message 111 to peer 0x7fb50a531000 (8 bytes)
1650841366.782246 sending message 101 to peer 0x7fb50a531000 (12 bytes)
1650841366.782254 sending message 109 to peer 0x7fb50a531000 (4 bytes)
1650841366.782262 sending message 102 to peer 0x7fb50a531000 (13 bytes)
1650841366.782270 sending message 108 to peer 0x7fb50a531000 (24 bytes)
1650841366.782278 sending message 112 to peer 0x7fb50a531000 (70 bytes)
1650841366.782286 sending message 112 to peer 0x7fb50a531000 (5 bytes)
1650841366.782294 sending message 112 to peer 0x7fb50a531000 (6 bytes)
1650841366.782302 sending message 112 to peer 0x7fb50a531000 (6 bytes)
1650841366.782310 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.782318 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782326 sending message 112 to peer 0x7fb50a531000 (14 bytes)
1650841366.782334 sending message 112 to peer 0x7fb50a531000 (19 bytes)
1650841366.782341 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.782349 sending message 112 to peer 0x7fb50a531000 (21 bytes)
1650841366.782357 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782365 sending message 112 to peer 0x7fb50a531000 (7 bytes)
1650841366.782373 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782381 sending message 112 to peer 0x7fb50a531000 (7 bytes)
1650841366.782389 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782397 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.782405 sending message 112 to peer 0x7fb50a531000 (21 bytes)
1650841366.782413 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782421 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.782429 sending message 112 to peer 0x7fb50a531000 (16 bytes)
1650841366.782436 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782444 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.782452 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.782460 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782468 sending message 112 to peer 0x7fb50a531000 (8 bytes)
1650841366.782476 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782484 sending message 112 to peer 0x7fb50a531000 (7 bytes)
1650841366.782491 sending message 112 to peer 0x7fb50a531000 (7 bytes)
1650841366.782499 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.782507 sending message 112 to peer 0x7fb50a531000 (6 bytes)
1650841366.782515 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.782523 sending message 112 to peer 0x7fb50a531000 (15 bytes)
1650841366.782531 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782538 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782546 sending message 112 to peer 0x7fb50a531000 (8 bytes)
1650841366.782554 sending message 112 to peer 0x7fb50a531000 (14 bytes)
1650841366.782562 sending message 112 to peer 0x7fb50a531000 (9 bytes)
